file	Arabic.txt	English.txt	Spanish.txt	Urdu.txt
Joined_Success	تمت الإضافة بنجاح	Successfully joined.	Se unió con éxito.	کامیابی کے ساتھ شمولیت اختیار کی ھے
Mail_Sent_Success	تم إرسال الرسالة بنجاح	Mail successfully sent.	Correo enviado con éxito.	ای میل کامیابی سے بھیجی جا چکی ہے
MeetUp_Desc_Missing	شرح عن الاجتماع مفقود	Meetup description is missing.	Falta la descripción del MeetUp.	اجلاس کی تفصیل غائب ہے
Title	عنوان	Title	Título	عنوان
Issue_Duplicate	رقم النسخة موجود سابقاً	Issue number already exists.	Ya existe el número.	یہ ایشو پہلے ہی موجود ہے
IssueNumber	رقم النسخة/النشرة	Issue Number	Issue Number	ایشو نمبر
Save_Quiz	حفظ الاختبار	Save Quiz	Guardar prueba	ٹیسٹ محفوظ کریں
Progress	تقدم	Progress	Progreso	پیش رفت
Highest_Rated	تصنيفها من أعلى	Highest Rated	La mejor nota	سب سے زیادہ درجہ بندی
Edit_Member	تحرير عضو	Edit Member	Editar miembros	رکن کی ترمیم
select_communities	اختيار مجموعة/مجموعات	Select Community('ies)	Select Community('ies)	Select Community('ies)
Registered_Members	الأعضاء المسجلين	Registered Members	Miembros registrados	رجسٹرڈ اراکین
downloaded_by	تم التحميل بواسطة	Downloaded By	Downloaded By	Downloaded By
FeedbackSaved_Not_Resource	تم حفظ ملاحظتك بنجاح، المعلومات موجودة في الألبوم سابقاً	Successfully saved feedback. Resource already in shelf.	La retroalimentación se guardó con éxito y este recurso ya está en el estante.	کامیابی کے ساتھ آپ کی رائے محفوظ ہو چکی ہے، ریسورس شیلف میں پہلے سے ہی موجود ہے۔
Step	مرحلة	Step	Paso	مرحلہ
New_Step	خطوة جديدة	New Step	Paso nuevo	نیا مرحلہ
No_Member_Found	No members have been found for the selected options	No members have been found for the selected options	No members have been found for the selected options	No members have been found for the selected options
Day	يوم	Day	Día	دن
Added_Success	تمت الإضافة بنجاح	Added successfully.	Agregado con éxito.	کامیابی سے شامل ہو گیا ہے
Nation_Bell	بيل الدولي	Nation Bell	Nation Bell	Nation Bell
Config_Saved	تم حفظ الإعدادات	Configuration saved.	Configuración guardada.	تشکیلات محفوظ ھو چکی ہیں
Region	منطقة	Region	Lugar	علاقہ
Confirm_Survey	هل أنت متأكد من أنك تريد حذف هذا المجلد/البحث؟	Are you sure you want to delete this survey?	¿Desea eliminar esta encuesta?	کیا آپ کو یقین ہے کہ آپ یہ سروے حذف کرنا چاہتے ہیں؟
visits_past_twelve_months	مجموع عدد الزيارات في الأشهر 12 الماضية	Total Visits Past 12 Months	Total de visitas en los últimos 12 meses	کل گزشتہ 12 ماہ کا دورہ
No_Course_Pub	لا يوجد دورة تدريبية في هذه النشرة	No Course in this publication	No Course in this publication	No Course in this publication
courseFull_msg	اكتمل عدد هذه الدورة التدريبية	this Course Was Full.	this Course Was Full.	یہ کورس مکمل ہے
Event_Updated_Success	تم تحديث الموضوع بنجاح	Event successfully updated.	Evento actualizado con éxito.	تقریب کامیابی سے اپ ڈیٹ ھو چکی ھے
Confirm_Resource	هل أنت متأكد من أنك تريد حذف هذا المجلد؟	Are you sure you want to delete this resource?	¿Desea eliminar este recurso?	کیا آپ کو یقین ہے کہ آپ اس ریسورس کو حذف کرنا چاہتے ہیں؟
time_Limit	لديك 20 ثانية	You have 20 seconds	Tienes 20 segundos	آپ کے پاس 20 سیکنڈ ہیں
Nation_reports	التقارير الدولية	Nation's Reports	Nation's Reports	Nation's Reports
Members_Count	عدد الأعضاء	Members Count	Cuenta de los miembros	اراکین کا شمار
level	مستوى (مستويات)	Level(s)	Nivel(es)	درجہ
Course_Admission_Req	طلب قبول في الدورة التدريبية	Course Admission Request	Requisitos de admisión del curso	کورس میں داخلہ کی درخواست
TempApp_Replication_Error	فشل نسخ التطبيقات المؤقتة	Temp apps replication failed.	No se reprodujeron las aplicaciones temporales.	عارضی ایپس نقل کرنے میں ناکامی
AddCourse_To_pubs_Failed	تعذر إضافة الدورة التدريبية إلى النشر	Failed to add the course to the publication.	Error al añadir el curso a la publicación.	کورس کو اشاعت میں شامل کرنے میں ناکامی ہے
Course	درس/ دورة تدريبية	Course	Curso	 کورس
Tag	إشارات	Tag	Etiqueta	ٹیگ
Updated_NewVersion_Success	تم تحديثه للإصدار الأخير بنجاح	Successfully updated to latest version.	Actualizó con éxito la última versión.	تازہ ترین ورژن تک کامیابی سے اپ ڈیٹ ہو چکی ہے
DeleteLabel	حذف	Delete	Borrar	حذف
Course_Added_Dashboard	تمت إضافة الدورة التدريبية إلى لوحة المعلومات الخاصة بك	Course added to your dashboard.	Curso añadido a tu panel de control.	کورس کو آپ کے ڈیش بورڈ میں شامل کر دیا ھے
Resource_Success_Added	Resource is Successfully added to library	Resource is Successfully added to library	Resource is Successfully added to library	Resource is Successfully added to library
LanguagesDb_Creation_Error	فشل في إنشاء قاعدة بيانات اللغات	Failed to create languages database.	Error al crear la base de datos de idiomas.	زبانوں کی ڈیٹا بیس بنانے میں ناکامی ہے
checkAll	اختر الكل	Check All	Marcar todas	تمام چیک کریں
Browse	تصفح	Browse	Ver	سال
Error_UserCourse_Details	لم يتم العثور على بيانات متعلقة في الدورة التدريبية المختارة	No data related to selected course found.	No se encontraron datos del curso seleccionado.	متعلقہ کورس کے لئے کوائف موجود نہیں
Label	عنوان	Label	Label	لیبل
Version	نسخة	Version	Version	ورژن
Library	مكتبة	Library	Biblioteca	لائبریری
Birdeye_View	نظرة عامة	Bird's Eye View	Vista panorámica	مجموعی جائزہ
MeetUp	اجتماع	Meetup	MeetUp	اجلاس
nameOfLanguage	Arabic	English	Spanish	Urdu
Quiz_Saved_Success	تم حفظ الاختبار بنجاح	Quiz successfully saved.	Prueba guardada con éxito.	ٹیسٹ کامیابی سے محفوظ ہوچکا ہے
Last_Publications	المنشورات الأخيرة	Last Publications	Last Publications	Last Publications
Collections_Merge_Success	تم دمج اختياراتك بنجاح	Collections merge successfully	Las colecciones se combinaron con éxito.	مجموعے کو کامیابی کے ساتھ ضم کرلیا گیا ھے
last_sync_date	تاريخ مزامنة آخر نشاط	Last Activity sync Date	Last Activity sync Date	Last Activity sync Date
Passing_Percentage	نسبة النجاح	Passing Percentage	Porcentaje de aprobación	کامیابی کا تناسب
Resources_Added_Success	تمت إضافة المعلومات بنجاح	Your resources have been added successfully.	Sus recursos se añadieron con éxito.	آپ کے ریسورسز کو کامیابی سے شامل کر لیا ہے
Course_Members	أعضاء الدورة التدريبية	Course Members	Miembros del curso	کورس کے ارکان
Survey_Title	عنوان البحث	Survey Title	Survey Title	Survey Title
Select_Language	اختر اللغة	Select Language	Select Language	زبان منتخب کریں
Become_a_member	تصبح عضوا	Become a Member	Ser miembro	رکن بنیے
Member_Limit	الحد الأقصى للعضو	Member Limit	Límite de miembros	اراکین کی حد
Error_Course_Report	لا توجد بيانات الموجودة على الخادم	No data found on server.	No se encuentran datos en el servidor.	سرور پر ڈیٹا نہیں ملا
Survey_Error_Message_For_Required_Questions	Please provide all the answers to required questions	Please provide all the answers to required questions	Please provide all the answers to required questions	Please provide all the answers to required questions
Back	سابق	Back	Volver	پیچھے
Course_Created_Success	تم خلق الدورة التدريبية بنجاح	Course successfully created.	Curso creado con éxito.	کورس کامیابی کے ساتھ بن گیا ھے
action	إجراء	Action	Acción	کارروائی
Home	الصفحة الرئيسة	Home	Inicio	ہوم
No_Option_Selected	لم يتم الاختيار	No option selected.	No seleccionó la opción.	کوئی آپشن منتخب نہیں کی
resource_type	نوع المورد - نوع المادة	Resource Type	Tipo de recurso	ريسورس کی قسم
Category	فئة	Category	Categoría	قسم
duplicate_surveyNo	رقم البحث موجود سابقاً	SurveyNo already exist	SurveyNo already exist	سروے نمبر پہلے ہی موجود ہے
Send_Publication	إرسال النشرة	Send Publication	Send Publication	Send Publication
Admission	قبول	Admission	Admisión	داخلہ
Assignment_Submitted	تم الإرسال بنجاح	Assignment successfully submitted.	Tarea enviada con éxito.	تفویض کامیابی کے ساتھ جمع ھو چکی ہے
Submit_Configurations	ضبط الإعدادات	Submit Configurations	Submit Configurations	تشکیلات جمع کرائیں
Member	عضو	Member	Miembro	رکن
Course_Details	تفاصيل الدورة التدريبية	Course Details	Detalles del curso	کورس کی تفصیلات
Exit	خروج	Exit	Salir	خروج
Resign	الاستقالة	Resign	Abandonar	مستعفی
Synced_Success	تمت المزامنة بنجاح	Synced successfully	Sincronizado con éxito.	کامیابی سے مطابقت پذیر ہو گۓ ہیں
member_delete_confirm	هل أنت متأكد من أنك تريد حذف هذا العضو؟	Are you sure that you want to delete this member?	¿Desea eliminar a este miembro?	کیا آپ کو یقین ہے کہ آپ اس رکن کو حذف کرنا چاہتے ہیں؟
New_Publication_Issue	إصدار نشرة جديد	New Publication Issue	New Publication Issue	New Publication Issue
Welcome_Video	Welcome Video	Welcome Video	Welcome Video	Welcome Video
Adm_req_accepted	تم قبول طلب الإنضمام	Admission Request Accepted	Admission Request Accepted	داخلہ کی درخواست قبول کر لی ہے
Status	الحالة	Status	Estado.	حالت
Grade_Level	المستوى الدراسي	Grade Level	Nivel de grado	Grade Level
TrendReport_msg	التقرير يدل على انتهاء	Trend report ending:	Conclusión del informe de tendencias:	رپورٹ ختم ہونے کا رجحان:
Females	الإناث	Females	Mujeres	خواتین
Survey_Error_Message	الرجاء كتابة جميع الأجوبة أولاً	Please provide all the answers first	Please provide all the answers first	براہ مہربانی پہلے سارے جوابات فراہم کریں
No_Resource_Found	لم يتم العثور على نتائج نتائج	No Resource Found	No está el recurso	ریسورس نہیں ملا
No_Requests	لا يوجد طلبات	No Requests	Sin solicitudes	درخواستیں نہیں ہیں
Removed_Member	تم حذف العضو من الدورة التدريبية	Member is removed From course.	Se elimina el miembro del curso.	رکن کوکورس سے ہٹا دیا ہے
Course_Leader	مدير الدورة التدريبية	Course Leader	Coordinador del curso	کورس کا رہنما
Include_Admins	Include Admins	Include Admins	Include Admins	Include Admins
Confirm_Course	Are you sure you want to delete this Course?	Are you sure you want to delete this Course?	Are you sure you want to delete this Course?	Are you sure you want to delete this Course?
Generate_Report	إصدار تقرير	Generate Report	Generar informe	رپورٹ تیار کریں
Levels	مستويات	Levels	Niveles	لیولز
Survey_Success_Message	تم إرسال البحث بنجاح	Survey has been submitted successfully	Survey has been submitted successfully	سروے کامیابی سے ارسال کردیا گیا ہے
Title_TrendActivity	تقرير النشاطات - خلال الأشهر الستة السابقة	Trend Activity Report (Previous Six Months)	Informe de actividades de tendencias (seis meses anteriores)	رجحان سرگرمی رپورٹ (پچھلے چھ ماہ)
Release_Notes	ملاحظات الإصدار	Release Notes	Notas de la versión	 ریلیز نوٹس
Confirm_Collection	هل أنت متأكد من أنك تريد حذف هذه المجموعة؟	Are you sure you want to delete this collection?	¿Desea eliminar esta colección?	کیا آپ کو یقین ہے کہ آپ یہ مجموعہ حذف کرنا چاہتے ہیں؟
Local_Resources	Local Resources	Local Resources	Local Resources	Local Resources
Enter_Question	أدخل سؤالك هنا	Enter your question here.	Escriba aquí su pregunta.	اپنے سوال کو یہاں درج کریں
pls_select_language	Please select language	Please select language	Please select language	Please select language
Add_To_Pub	إضافة إلى النشرة	Add To Publication	Add To Publication	Add To Publication
Version_No	رقم النسخة	Version No.	Version No.	Version No.
Merge	دمج	Merge	Combinar	ضم
Time	وقت	Time	Hora	وقت
Response_Error	حدث خطأ في الحصول على جواب من النظام. الرجاء المحاولة مرة أخرى	There was an error in getting a response from the server. Please try again.	Hubo un error al obtener una respuesta del servidor. Inténtelo de nuevo.	سرور سے جوابی عمل حاصل کرنے میں نقص ہے ۔ براہ مہربانی دوبارہ کوشش کریں ۔
same_as_admin	Same as Administrator	Same as Administrator	Same as Administrator	Same as Administrator
request_Accepted_already	لقد قمت بقبول هذه الدعوة	You have accepted this request.	You have accepted this request.	آپ نے یہ درخواست قبول کر لی ہے ۔
View_Details	عرض التفاصيل	View Details	Ver más detalles	تفصیلات دیکھیں
Feedback	ملاحظاتفعل	Feedback	Retroalimentación	آپ کی رائے
No_members_found	No members found	No members found	No members found	No members found
Survey_Alert	لديك بحث جديد، الرجاء إرسال إجابتك	You have a new survey, please submit your response	You have a new survey, please submit your response	You have a new survey, please submit your response
Period	الفترة	Period	Período	دورانیہ
Enter_Option	أدخل خيار	Enter Option	Ingrese la opción	آپشن شامل کریں
My_Tutors	المعلمون	My Tutors	Mis tutores	میرے ٹیوٹر
Down	أسفل	Down	Abajo	نیچے
delete_alert	Are you sure you want to upload this resource?	Are you sure you want to upload this resource?	Are you sure you want to upload this resource?	Are you sure you want to upload this resource?
Nation_Visible	Nation is visible	Nation is visible	Nation is visible	Nation is visible
searchMessages	البحث في الرسائل	Search Messages	Search Messages	تلاش پیغامات
Roles	Roles	Roles	Roles	Roles
Resource_Level_Missing	معلومات المجلد مفقودة	Resource level is missing.	Falta el nivel de recursos.	ریسورس کا لیول غائب ہے
Add_Survey	إضافة بحث	Add Survey	Add Survey	سروے کا ا ضافہ کریں
atleast_two_options	الرجاء تزويدنا بإجابتين/خيارين على الأقل	Please provide atleast two options	Please provide atleast two options	Please provide atleast two options
Bell_Email	البريد الالكتروني الخاص في بيل	BeLL Email	Correo de BeLL	بیل ای میل
Invalid_Attachment	المرفق غير صالح	Invalid attachment.	Archivo adjunto no válido	غلط منسلکہدستاویز
Check_Sync	Update status	Update status	Update status	Update status
Details	تفاصيل	Details	Detalles	تفصیلات
FeedBack_Sent_success	تم إرسال الملاحظات بنجاح	Feedback successfully sent.	Retroalimentación enviada con éxito.	آپ کی رائے کو کامیابی سے بھیج دیا ہے
Invitation_Type	نوع الدعوة	Invitation Type	Tipo de invitación	دعوت نامے کی قسم
start_new_meetUp	البدء باجتماع جديد	Start a New Meetup	Inicia un Meetup nuevo	ایک نیا اجلاس شروع کریں
Invalid_Email_Address	عنوان البريد الإلكتروني غير صحيح	Invalid mail address	Dirección de correo electrónico no válida.	ای میل ایڈریس صحیح نہیں ہے
Course_Existing_Dashboard	تمت إضافة الدورة التدريبية مسبقاً إلى لوحة المعلومات الخاصة بك	Course already added to your dashboard.	Este curso ya está en tu panel de control.	کورس پہلے ہی آپ کے ڈیش بورڈ میں شامل ھے
question_Saved	لقد تم حفظ السؤال	Question has been saved	Question has been saved	Question has been saved
Urgent	عاجل	Urgent	Urgente	ارجنٹ
newMsg	رسالة جديدة	New Message	New Message	نیا پیغام
Prompt_MeetUp_Location_First	يرجى كتابة تفاصيل عن الاجتماع أولاً	Specify meetup description first.	Especifique primero la descripción del MeetUp.	سب سے پہلے اجلاس کی تفصیل واضح کریں
Sent_to	إرسال إلى	Sent To	Sent To	وصول کنندہ
Update_Event	تحديث الموضوع	Update Event	Update Event	تقریب کو اپ ڈیٹ کریں
Add_Comment	إضافة تعليق	Add Comment	Add Comment	تبصرہکریں
My_Meetups	اجتماعاتي	My Meetups	Mis MeetUps	میرے اجلاس
Invitation_Sent_Success	تم إرسال الدعوة بنجاح	Invitation sent successfully.	Invitación enviada con éxito.	دعوت نامہ کامیابی سے بھیج دیا ھے
Promote_To_Manager	تمت ترقيته إلى مدير	Promote To Manager	Ascender a administrador	مینیجر بنائیں
Submitted_By	أرسل من خلال/عن طريق	Submitted By	Submitted By	مرسل
language	لغة	Language	Idioma	زبان
Config_Added_Success	تمت إضافة الإعدادات بنجاح	Configurations are successfully added.	Se añadieron con éxito las configuraciones.	تشکیلات کو کامیابی سے اضافہ کیا ہے
Continue	تابع	Continue	Continuar	جاری رکھیں
Member_Login	تسجيل دخول العضو	Member Login	Inicio de sesión para miembros	ممبر لاگ ان
Nation_Contact	للتواصل دولياً	Nation Contact	Nation Contact	Nation Contact
View	معاينة	View	Ver	دیکھیں
All	جميع	All	All	تمام
Visits	زيارات	Visits	Visitas	وزٹز
adm_req_For_rejected	Your admission request has been rejected by the course leader for	Your admission request has been rejected by the course leader for	Your admission request has been rejected by the course leader for	Your admission request has been rejected by the course leader for
Select_Collections_Merge	اختر المجموعات لدمج	Select Collections to Merge	Seleccionar colecciones para combinar	مجموعات ضم کرنے کے لیے منتخب کریں
Member_Removed_From_Course	تم حذف العضو من الدورة التدريبية	Member is removed from course.	Se eliminó el miembro del curso.	رکن کو کورس سے خارج کر دیا ہے
Community	مجموعة	Community	Comunidad	کمیونٹی
Course_Failure_Msg	لم يتم نجاحك في تخطي هذا المستوى. اقرأ بعناية وحاول مرة أخرى	You are unable to pass this level. Read carefully and try again.	No aprobaste este nivel. Lea y vuelva a intentarlo.	آپ یہ لیول عبور کرنے میں ناکام رہے ہیں ۔ بغور پڑھ لیں اور پھر کوشش کریں ۔
School_Year	السنة الدراسية	School Year	School Year	اسکول کا سال
Select_Date	يجب عليك اختيار تاريخ للمضي قدما	You must choose a date to proceed.	Elija una fecha para continuar.	آپ کو آگے بڑھنے کے لیے تاریخ کا انتخاب کرنا ہوگا
My_Library	مكتبتي	My Library	Mi biblioteca	میری لائبریری
fill_all_fields	Please fill out all the fields first	Please fill out all the fields first	Please fill out all the fields first	Please fill out all the fields first
Update_Available	التحديث متاح	Update Available	Actualización disponible	اپ ڈیٹ دستیاب
Hide	إخفاء	Hide	Ocultar	چھپائیں
Publication	نشرة	Publication	Publicación	اشاعت
Selected	تم الاختيارر	Selected	Seleccionado	سیلیکٹد
DownloadPaperForStep	Download Paper for step number	Download Paper for step number	Download Paper for step number	Download Paper for step number
No_Resource_Pub	لا يوجد معلومات في هذه النشرة	 No Resource in this publication	 No Resource in this publication	 No Resource in this publication
Finish	إنهاء	Finish	Terminar	ختم کریں
Add_Collection	إضافة مجموعة	Add Collection	Añadir colección	 مجموعہ شامل کریں
Schedule	الجدول الزمني	Schedule	Schedule	شیڈول
Duplicate_In_Shelf	موجود سابقاً في الألبوم	Already in shelf.	Ya está en el estante.	پہلے ہی شیلف میں موجود ھے
Resigned_Success_Msg	تم الخروج بنجاح من	Successfully resigned from	Abandono con éxito para	سے کامیابی سے استعفی دیا
birthYear	سنة الولادة	Birth Year	Birth Year	Birth Year
community_details	Community Details	Community Details	Community Details	Community Details
Language_Of_Instruction	لغة التعليمات	Language Of Instruction	Idioma del curso	تعلیم کی زبان
Received	Received	Received	Received	Received
Sender	المرسل	Sender	Sender	مرسل
Register	سجل	Register	Registrar	رجسٹر کریں
Already_Joined_MeetUp	لقد قمت بالانضمام للمجموعة	You have already joined this meetup.	Ya se unió a este MeetUp.	آپ پہلے ہی اجلاس میں شامل ھو گۓ ھیں
Steps	خطوات- مراحل	Steps	Pasos	مراحل
Invalid_Credentials	كلمة المرور أو اسم المستخدم غير صحيح	Login or password incorrect.	Nombre de usuario o contraseña incorrecta.	لاگ ان یا پاس ورڈ غلط ہے
nameOfCommunity	اسم المجموعة	Bell Name:	Bell Name:	Bell Name:
Assignment_Submit_Success	تم تسجيل المهمة بنجاح	Assignment successfully submitted.	Tarea enviada con éxito.	تفویض کامیابی سے جمع ھو چکی ھے
upload_Date	تحميل التاريخ	Upload Date	Upload Date	اپ لوڈ تاریخ
Confirm_Community	هل أنت متأكد من أنك تريد حذف هذه المجموعة؟	Are you sure you want to delete this community?	¿Desea eliminar esta comunidad?	کیا آپ کو یقین ہے کہ آپ اس برادری کو حذف کرنا چاہتے ہیں؟
Merge_Error	الرجاء تحديد 2 أو أكثر من البنود للدمج	Please select 2 or more items to merge.	Seleccione 2 o más de 2 artículos para combinar.	2 یا 2 سے زائد اشیاء کو ضم کرنے کے لیے منتخب کریں
Course_Resignation	استقالة من الدورة التدريبية	Course Resignation	Abandonar curso	کورس سے استعفیٰ
Resource_Subject_Missing	عنوان المجلد مفقود	Resource subject is missing.	Falta el tema del recurso.	ریسورس کا موضوع غائب ہے
Add_to_my_library	إضافة إلى مكتبتي	Add To My Library	Añadir a mi biblioteca	میری لائبریری میں شامل کریں
save_question	حفظ السؤال	Save Question	Save Question	سوال محفوظ کریں
require_answer	وهذا يتطلب جوابا على السؤال	 Require Answer to Question.	 Require Answer to Question.	سوال کا جواب درکار ہے
Not_Set	لم يتم تعيين	Not Set	No establecido	سیٹ نہیں ہے
Select_a_Question	إختر سؤال	Select a question	Select a question	ایک سوال کو منتخب کریں
save_and_add_feedback	حفظ وإضافة إلى مكتبتي	Save and Add to My Library	Guardar y añadir a mi biblioteca	محفوظ کریں اور میری لائبریری میں شامل کریں
Weekly	أسبوعي	Weekly	Por semana	ھفتہ وار
Add_New	إضافة جديدة	Add New	Agregar nuevo	 نیا شامل کریں
UnAuthorized_Login	غير مسموح لك بتسجيل الدخول	You are not authorized to sign in.	No tienes autorización para iniciar sesión.	آپ سائن ان کرنے کے مجاز نہیں ہیں
Course_Title	عنوان الدورة التدريبية	Course Title	Título del curso	کورس کا عنوان
weight	الوزن/الأهمية	Weight	Weight	وزن
Learner	متعلم	Learner	Estudiante	طالب علم
All_Reports	جميع التقارير	All Reports	Todos los informes	تمام رپورٹیں
Next	التالي	Next	Siguiente	اگلا
Editor_Name	اسم المحرر/المؤلف	Editor Name	Editor Name	Editor Name
Passed	مرت	Passed	Aprobado	آپ پاس ہو گئے ہیں
year	سنة	Year	Año	سال
Success_Msg	تم إتمام العمل بنجاح	Successfully done	Realizado con éxito.	کامیابی کے ساتھ کیا گیا ہے
Save	حفظ	Save	Guardar	محفوظ کریں
Type	النوع	Type	Type	قسم
Add_Course	إضافة درس جديد	Add Course	Añadir curso	نیا کورس  شامل کریں
Medium	متوسط	Medium	Medio	میڈیم
Add_Issue	إضافة نشرة/نسخة	Add Issue	Add Issue	Add Issue
Recipients	المستلمين	Recipients	Destinatarios	وصول کنندگان
UnHide	ظهار	Unhide	Mostrar	چھپانا ختم کریں
Welcome	أهلاً بك	Welcome	Bienvenido	 خوش آمدید
